State Code,County Code,GEOID,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Year,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,City Name
6,37,6037400603,2,88101,1,34.1365,-117.92391,WGS84,2000,333,91,Y,333,366,0,33,5,5,20.054054,13.003538,92.5,2000-10-20 0:00,79.3,2000-12-02 0:00,77.9,2000-12-24 0:00,75.2,2000-10-18 0:00,75.2,61.6,43.8,33.7,24,18.3,7,Azusa,Azusa
6,37,6037400603,2,88101,1,34.1365,-117.92391,WGS84,2000,333,91,Y,333,366,0,33,30,30,20.054054,13.003538,92.5,2000-10-20 0:00,79.3,2000-12-02 0:00,77.9,2000-12-24 0:00,75.2,2000-10-18 0:00,75.2,61.6,43.8,33.7,24,18.3,7,Azusa,Azusa
6,37,6037400603,2,88101,1,34.1365,-117.92391,WGS84,2000,333,91,Y,333,366,0,33,30,30,20.054054,13.003538,92.5,2000-10-20 0:00,79.3,2000-12-02 0:00,77.9,2000-12-24 0:00,75.2,2000-10-18 0:00,75.2,61.6,43.8,33.7,24,18.3,7,Azusa,Azusa
6,37,6037400603,2,88101,1,34.1365,-117.92391,WGS84,2000,333,91,Y,333,366,0,33,30,30,20.054054,13.003538,92.5,2000-10-20 0:00,79.3,2000-12-02 0:00,77.9,2000-12-24 0:00,75.2,2000-10-18 0:00,75.2,61.6,43.8,33.7,24,18.3,7,Azusa,Azusa
6,37,6037310800,1002,88101,1,34.17605,-118.31712,WGS84,2000,70,57,N,70,122,0,52,3,3,23.738571,15.172919,84.4,2000-10-18 0:00,83,2000-12-23 0:00,67.5,2000-11-29 0:00,56,2000-12-02 0:00,84.4,83,56,38.5,27.3,21.7,8.8,Burbank,Burbank
6,37,6037310800,1002,88101,1,34.17605,-118.31712,WGS84,2000,70,57,N,70,122,0,52,9,9,23.738571,15.172919,84.4,2000-10-18 0:00,83,2000-12-23 0:00,67.5,2000-11-29 0:00,56,2000-12-02 0:00,84.4,83,56,38.5,27.3,21.7,8.8,Burbank,Burbank
6,37,6037310800,1002,88101,1,34.17605,-118.31712,WGS84,2000,70,57,N,70,122,0,52,9,9,23.738571,15.172919,84.4,2000-10-18 0:00,83,2000-12-23 0:00,67.5,2000-11-29 0:00,56,2000-12-02 0:00,84.4,83,56,38.5,27.3,21.7,8.8,Burbank,Burbank
6,37,6037310800,1002,88101,1,34.17605,-118.31712,WGS84,2000,70,57,N,70,122,0,52,9,9,23.738571,15.172919,84.4,2000-10-18 0:00,83,2000-12-23 0:00,67.5,2000-11-29 0:00,56,2000-12-02 0:00,84.4,83,56,38.5,27.3,21.7,8.8,Burbank,Burbank
6,37,6037206010,1103,88101,1,34.06659,-118.22688,WGS84,2000,334,91,Y,334,366,0,30,11,11,22.018263,14.332927,87.8,2000-12-01 0:00,84.6,2000-10-20 0:00,80.8,2000-12-24 0:00,75.5,2000-11-30 0:00,75.5,72.8,54.2,36.4,25.7,18.4,9.3,Los Angeles-North Main Street,Los Angeles
6,37,6037206010,1103,88101,1,34.06659,-118.22688,WGS84,2000,334,91,Y,334,366,0,30,42,42,22.018263,14.332927,87.8,2000-12-01 0:00,84.6,2000-10-20 0:00,80.8,2000-12-24 0:00,75.5,2000-11-30 0:00,75.5,72.8,54.2,36.4,25.7,18.4,9.3,Los Angeles-North Main Street,Los Angeles
6,37,6037206010,1103,88101,1,34.06659,-118.22688,WGS84,2000,334,91,Y,334,366,0,30,42,42,22.018263,14.332927,87.8,2000-12-01 0:00,84.6,2000-10-20 0:00,80.8,2000-12-24 0:00,75.5,2000-11-30 0:00,75.5,72.8,54.2,36.4,25.7,18.4,9.3,Los Angeles-North Main Street,Los Angeles
6,37,6037206010,1103,88101,1,34.06659,-118.22688,WGS84,2000,334,91,Y,334,366,0,30,42,42,22.018263,14.332927,87.8,2000-12-01 0:00,84.6,2000-10-20 0:00,80.8,2000-12-24 0:00,75.5,2000-11-30 0:00,75.5,72.8,54.2,36.4,25.7,18.4,9.3,Los Angeles-North Main Street,Los Angeles
6,37,6037132301,1201,88101,1,34.19925,-118.53276,WGS84,2000,108,89,Y,108,122,0,14,2,2,18.100926,11.787904,67.5,2000-12-23 0:00,65.8,2000-11-29 0:00,50,2000-01-10 0:00,47.3,2000-01-01 0:00,65.8,50,42.7,32.3,21.5,15.4,6.7,Reseda,Reseda
6,37,6037132301,1201,88101,1,34.19925,-118.53276,WGS84,2000,108,89,Y,108,122,0,14,9,9,18.100926,11.787904,67.5,2000-12-23 0:00,65.8,2000-11-29 0:00,50,2000-01-10 0:00,47.3,2000-01-01 0:00,65.8,50,42.7,32.3,21.5,15.4,6.7,Reseda,Reseda
6,37,6037132301,1201,88101,1,34.19925,-118.53276,WGS84,2000,108,89,Y,108,122,0,14,9,9,18.100926,11.787904,67.5,2000-12-23 0:00,65.8,2000-11-29 0:00,50,2000-01-10 0:00,47.3,2000-01-01 0:00,65.8,50,42.7,32.3,21.5,15.4,6.7,Reseda,Reseda
6,37,6037132301,1201,88101,1,34.19925,-118.53276,WGS84,2000,108,89,Y,108,122,0,14,9,9,18.100926,11.787904,67.5,2000-12-23 0:00,65.8,2000-11-29 0:00,50,2000-01-10 0:00,47.3,2000-01-01 0:00,65.8,50,42.7,32.3,21.5,15.4,6.7,Reseda,Reseda
6,37,6037540203,1301,88101,1,33.92899,-118.21071,WGS84,2000,121,99,Y,121,122,0,1,2,2,22.982645,13.744076,82.1,2000-12-02 0:00,68.6,2000-01-01 0:00,62.8,2000-12-23 0:00,62.5,2000-01-10 0:00,68.6,62.8,53.5,37.4,27.7,19,10.2,Lynwood,Lynwood
6,37,6037540203,1301,88101,1,33.92899,-118.21071,WGS84,2000,121,99,Y,121,122,0,1,17,17,22.982645,13.744076,82.1,2000-12-02 0:00,68.6,2000-01-01 0:00,62.8,2000-12-23 0:00,62.5,2000-01-10 0:00,68.6,62.8,53.5,37.4,27.7,19,10.2,Lynwood,Lynwood
6,37,6037540203,1301,88101,1,33.92899,-118.21071,WGS84,2000,121,99,Y,121,122,0,1,17,17,22.982645,13.744076,82.1,2000-12-02 0:00,68.6,2000-01-01 0:00,62.8,2000-12-23 0:00,62.5,2000-01-10 0:00,68.6,62.8,53.5,37.4,27.7,19,10.2,Lynwood,Lynwood
6,37,6037540203,1301,88101,1,33.92899,-118.21071,WGS84,2000,121,99,Y,121,122,0,1,17,17,22.982645,13.744076,82.1,2000-12-02 0:00,68.6,2000-01-01 0:00,62.8,2000-12-23 0:00,62.5,2000-01-10 0:00,68.6,62.8,53.5,37.4,27.7,19,10.2,Lynwood,Lynwood
6,37,6037500403,1601,88101,1,34.01407,-118.06056,WGS84,2000,116,95,Y,116,122,0,6,4,4,24.112069,14.849325,89.5,2000-12-02 0:00,78,2000-12-23 0:00,70.8,2000-11-29 0:00,68.1,2000-01-10 0:00,78,70.8,56,42.5,29.4,20.7,10.8,Pico Rivera,Pico Rivera
6,37,6037500403,1601,88101,1,34.01407,-118.06056,WGS84,2000,116,95,Y,116,122,0,6,15,15,24.112069,14.849325,89.5,2000-12-02 0:00,78,2000-12-23 0:00,70.8,2000-11-29 0:00,68.1,2000-01-10 0:00,78,70.8,56,42.5,29.4,20.7,10.8,Pico Rivera,Pico Rivera
6,37,6037500403,1601,88101,1,34.01407,-118.06056,WGS84,2000,116,95,Y,116,122,0,6,15,15,24.112069,14.849325,89.5,2000-12-02 0:00,78,2000-12-23 0:00,70.8,2000-11-29 0:00,68.1,2000-01-10 0:00,78,70.8,56,42.5,29.4,20.7,10.8,Pico Rivera,Pico Rivera
6,37,6037500403,1601,88101,1,34.01407,-118.06056,WGS84,2000,116,95,Y,116,122,0,6,15,15,24.112069,14.849325,89.5,2000-12-02 0:00,78,2000-12-23 0:00,70.8,2000-11-29 0:00,68.1,2000-01-10 0:00,78,70.8,56,42.5,29.4,20.7,10.8,Pico Rivera,Pico Rivera
6,37,6037463500,2005,88101,1,34.1326,-118.1272,WGS84,2000,110,90,Y,110,122,0,12,1,1,19.310909,11.953982,66.3,2000-10-18 0:00,63.7,2000-12-02 0:00,54,2000-03-16 0:00,52.2,2000-11-29 0:00,63.7,54,49.1,31.5,24,16.9,7.8,Pasadena,Pasadena
6,37,6037463500,2005,88101,1,34.1326,-118.1272,WGS84,2000,110,90,Y,110,122,0,12,7,7,19.310909,11.953982,66.3,2000-10-18 0:00,63.7,2000-12-02 0:00,54,2000-03-16 0:00,52.2,2000-11-29 0:00,63.7,54,49.1,31.5,24,16.9,7.8,Pasadena,Pasadena
6,37,6037463500,2005,88101,1,34.1326,-118.1272,WGS84,2000,110,90,Y,110,122,0,12,7,7,19.310909,11.953982,66.3,2000-10-18 0:00,63.7,2000-12-02 0:00,54,2000-03-16 0:00,52.2,2000-11-29 0:00,63.7,54,49.1,31.5,24,16.9,7.8,Pasadena,Pasadena
6,37,6037463500,2005,88101,1,34.1326,-118.1272,WGS84,2000,110,90,Y,110,122,0,12,7,7,19.310909,11.953982,66.3,2000-10-18 0:00,63.7,2000-12-02 0:00,54,2000-03-16 0:00,52.2,2000-11-29 0:00,63.7,54,49.1,31.5,24,16.9,7.8,Pasadena,Pasadena
6,37,6037577900,4002,88101,1,33.82376,-118.18921,WGS84,2000,304,83,N,304,366,0,58,4,4,19.164803,13.331059,81.5,2000-12-01 0:00,74.5,2000-11-30 0:00,69.3,2000-12-31 0:00,65.5,2000-01-09 0:00,65.5,64.3,48.3,38.2,22.3,15.3,7.6,Long Beach (North),Long Beach
6,37,6037577900,4002,88101,1,33.82376,-118.18921,WGS84,2000,304,83,N,304,366,0,58,34,34,19.164803,13.331059,81.5,2000-12-01 0:00,74.5,2000-11-30 0:00,69.3,2000-12-31 0:00,65.5,2000-01-09 0:00,65.5,64.3,48.3,38.2,22.3,15.3,7.6,Long Beach (North),Long Beach
6,37,6037577900,4002,88101,1,33.82376,-118.18921,WGS84,2000,304,83,N,304,366,0,58,34,34,19.164803,13.331059,81.5,2000-12-01 0:00,74.5,2000-11-30 0:00,69.3,2000-12-31 0:00,65.5,2000-01-09 0:00,65.5,64.3,48.3,38.2,22.3,15.3,7.6,Long Beach (North),Long Beach
6,37,6037577900,4002,88101,1,33.82376,-118.18921,WGS84,2000,304,83,N,304,366,0,58,34,34,19.164803,13.331059,81.5,2000-12-01 0:00,74.5,2000-11-30 0:00,69.3,2000-12-31 0:00,65.5,2000-01-09 0:00,65.5,64.3,48.3,38.2,22.3,15.3,7.6,Long Beach (North),Long Beach
6,37,6037900607,9002,88101,1,34.689985,-118.13285,WGS84,2000,113,93,Y,113,122,0,0,0,0,10.50354,4.601008,36,2000-12-11 0:00,25,2000-12-23 0:00,21,2000-11-29 0:00,19.4,2000-05-21 0:00,25,21,17.9,15,13,10,5.7,Lancaster-Ponderosa St.,Lancaster
6,37,6037900607,9002,88101,1,34.689985,-118.13285,WGS84,2000,113,93,Y,113,122,0,0,1,1,10.50354,4.601008,36,2000-12-11 0:00,25,2000-12-23 0:00,21,2000-11-29 0:00,19.4,2000-05-21 0:00,25,21,17.9,15,13,10,5.7,Lancaster-Ponderosa St.,Lancaster
6,37,6037900607,9002,88101,1,34.689985,-118.13285,WGS84,2000,113,93,Y,113,122,0,0,1,1,10.50354,4.601008,36,2000-12-11 0:00,25,2000-12-23 0:00,21,2000-11-29 0:00,19.4,2000-05-21 0:00,25,21,17.9,15,13,10,5.7,Lancaster-Ponderosa St.,Lancaster
6,37,6037900607,9002,88101,1,34.689985,-118.13285,WGS84,2000,113,93,Y,113,122,0,0,1,1,10.50354,4.601008,36,2000-12-11 0:00,25,2000-12-23 0:00,21,2000-11-29 0:00,19.4,2000-05-21 0:00,25,21,17.9,15,13,10,5.7,Lancaster-Ponderosa St.,Lancaster